respondent_id,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,age_group,education,income_poverty,sex
49,1,0,0,1,5,3,65+ Years,12 Years,Above Poverty,Female
50,1,2,0,0,2,4,18 - 34 Years,<12 Years,Middle,Male
51,2,1,0,1,2,1,45 - 54 Years,12 Years,Middle,Male
52,1,0,0,1,3,1,55 - 64 Years,<12 Years,Middle,Male
53,2,0,1,1,4,2,55 - 64 Years,Some College,Below Poverty,Female
54,3,2,1,0,1,3,45 - 54 Years,<12 Years,Above Poverty,Male
55,2,0,1,1,4,1,35 - 44 Years,College Graduate,Middle,Female
56,3,1,0,0,4,2,65+ Years,Some College,Middle,Female
57,3,2,0,1,1,5,55 - 64 Years,College Graduate,Above Poverty,Male
58,0,0,1,0,3,1,45 - 54 Years,Some College,Middle,Male
59,2,2,0,0,4,1,45 - 54 Years,12 Years,Below Poverty,Female
60,0,0,0,1,2,2,35 - 44 Years,College Graduate,Middle,Male
61,2,0,1,1,1,3,35 - 44 Years,<12 Years,Below Poverty,Male
62,2,0,1,0,5,1,18 - 34 Years,12 Years,Below Poverty,Female
63,0,1,1,1,3,5,55 - 64 Years,<12 Years,Middle,Female
64,0,1,1,1,1,1,18 - 34 Years,Some College,Above Poverty,Female
65,2,2,0,1,5,5,45 - 54 Years,Some College,Below Poverty,Female
66,1,0,0,0,5,4,65+ Years,<12 Years,Above Poverty,Female
67,3,0,1,0,4,4,65+ Years,<12 Years,Middle,Male
68,0,1,0,1,4,5,35 - 44 Years,12 Years,Below Poverty,Female
69,3,0,1,1,4,3,65+ Years,<12 Years,Middle,Female
70,1,1,1,1,1,1,65+ Years,College Graduate,Above Poverty,Female
71,1,0,0,0,1,1,65+ Years,College Graduate,Middle,Male
72,1,2,1,0,3,4,45 - 54 Years,<12 Years,Middle,Female
73,0,0,0,1,4,5,65+ Years,College Graduate,Below Poverty,Female
74,1,0,0,1,5,1,65+ Years,<12 Years,Middle,Female
75,0,1,0,1,2,1,65+ Years,12 Years,Middle,Male
76,1,0,0,1,3,3,18 - 34 Years,College Graduate,Middle,Female
77,3,0,1,1,1,2,45 - 54 Years,College Graduate,Below Poverty,Female
78,3,1,0,1,3,4,35 - 44 Years,<12 Years,Above Poverty,Female
79,2,2,1,0,3,4,18 - 34 Years,College Graduate,Above Poverty,Male
80,3,2,1,1,3,2,55 - 64 Years,Some College,Middle,Male
81,2,1,1,0,3,1,45 - 54 Years,12 Years,Below Poverty,Male
82,3,1,1,1,2,3,45 - 54 Years,12 Years,Middle,Male
83,0,1,0,1,4,3,55 - 64 Years,College Graduate,Above Poverty,Female
84,3,1,0,0,5,4,55 - 64 Years,College Graduate,Below Poverty,Female
85,2,1,1,0,3,3,55 - 64 Years,Some College,Above Poverty,Male
86,2,2,1,0,3,2,35 - 44 Years,Some College,Above Poverty,Male
87,1,2,0,0,3,1,65+ Years,College Graduate,Below Poverty,Female
88,0,1,1,1,4,2,45 - 54 Years,College Graduate,Below Poverty,Female
89,3,0,0,0,1,5,65+ Years,Some College,Middle,Male
90,1,1,1,1,1,4,65+ Years,<12 Years,Middle,Male
91,3,0,0,0,2,3,55 - 64 Years,Some College,Above Poverty,Male
92,3,1,1,1,1,5,35 - 44 Years,<12 Years,Below Poverty,Male
93,1,1,1,1,3,3,18 - 34 Years,12 Years,Below Poverty,Female
94,1,2,0,1,3,1,35 - 44 Years,12 Years,Middle,Male
95,1,0,1,1,3,1,65+ Years,Some College,Above Poverty,Male
96,1,0,1,1,2,1,35 - 44 Years,<12 Years,Above Poverty,Female
97,1,2,0,1,3,3,55 - 64 Years,Some College,Middle,Female
98,3,2,1,0,1,5,18 - 34 Years,Some College,Below Poverty,Female
99,1,2,0,1,4,1,55 - 64 Years,<12 Years,Middle,Female
100,0,2,0,0,4,5,18 - 34 Years,Some College,Middle,Female
101,2,0,1,0,5,3,65+ Years,12 Years,Middle,Male
102,1,0,1,1,1,5,18 - 34 Years,College Graduate,Middle,Male
103,1,1,1,0,3,3,18 - 34 Years,College Graduate,Below Poverty,Male
104,3,1,1,1,4,3,18 - 34 Years,Some College,Middle,Female
105,1,2,1,0,1,4,35 - 44 Years,<12 Years,Below Poverty,Male
106,1,2,1,1,4,3,35 - 44 Years,<12 Years,Middle,Female
107,1,2,1,0,3,3,65+ Years,12 Years,Above Poverty,Male
108,3,1,0,1,4,2,18 - 34 Years,<12 Years,Below Poverty,Male
109,1,1,1,1,5,1,45 - 54 Years,<12 Years,Above Poverty,Female
110,2,1,0,1,5,4,65+ Years,12 Years,Middle,Female
111,3,1,1,1,4,4,18 - 34 Years,Some College,Middle,Male
112,2,1,1,0,1,4,18 - 34 Years,College Graduate,Middle,Male
113,3,1,0,1,1,2,35 - 44 Years,12 Years,Below Poverty,Male
114,1,1,1,0,1,3,65+ Years,Some College,Above Poverty,Male
115,2,2,1,0,4,1,18 - 34 Years,12 Years,Below Poverty,Male
116,3,2,0,0,1,5,18 - 34 Years,Some College,Below Poverty,Female
117,0,2,1,1,3,3,65+ Years,12 Years,Middle,Female
118,1,2,1,0,5,2,45 - 54 Years,Some College,Above Poverty,Female
119,3,1,1,0,3,3,65+ Years,12 Years,Middle,Female
120,0,0,0,0,1,3,65+ Years,Some College,Below Poverty,Male
121,3,1,1,1,3,2,45 - 54 Years,12 Years,Middle,Male
122,0,0,1,1,1,4,65+ Years,College Graduate,Above Poverty,Female
123,1,2,1,0,4,4,18 - 34 Years,College Graduate,Middle,Male
124,2,1,1,1,3,1,65+ Years,<12 Years,Above Poverty,Female
125,0,2,0,1,4,1,45 - 54 Years,Some College,Above Poverty,Male
126,3,1,0,0,4,4,55 - 64 Years,12 Years,Middle,Male
127,1,2,1,0,2,5,65+ Years,Some College,Below Poverty,Male
128,0,0,1,1,1,3,35 - 44 Years,College Graduate,Middle,Female
129,3,0,0,0,5,5,18 - 34 Years,Some College,Below Poverty,Female
130,3,0,0,1,1,3,18 - 34 Years,12 Years,Below Poverty,Female
131,3,1,1,1,5,4,35 - 44 Years,Some College,Middle,Female
132,0,0,0,1,1,1,35 - 44 Years,12 Years,Below Poverty,Male
133,0,1,1,1,4,1,65+ Years,College Graduate,Below Poverty,Male
134,0,0,0,1,3,5,35 - 44 Years,College Graduate,Middle,Male
135,2,0,0,1,3,1,55 - 64 Years,College Graduate,Middle,Male
136,0,1,0,0,2,4,45 - 54 Years,<12 Years,Middle,Female
137,0,1,0,0,5,5,35 - 44 Years,College Graduate,Below Poverty,Male
138,0,0,1,1,5,3,35 - 44 Years,Some College,Above Poverty,Male
139,2,1,0,1,5,1,55 - 64 Years,<12 Years,Below Poverty,Male
140,0,0,0,1,4,2,18 - 34 Years,College Graduate,Above Poverty,Female
141,3,1,1,0,5,1,18 - 34 Years,Some College,Middle,Female
142,0,2,0,1,3,3,65+ Years,Some College,Above Poverty,Female
143,3,2,0,0,4,5,55 - 64 Years,Some College,Middle,Male
144,3,2,1,1,1,3,45 - 54 Years,12 Years,Middle,Female
145,3,2,0,1,5,2,45 - 54 Years,<12 Years,Above Poverty,Male
146,2,2,1,0,5,4,55 - 64 Years,Some College,Middle,Male
147,2,0,1,0,1,1,45 - 54 Years,12 Years,Above Poverty,Male
148,2,2,1,1,5,5,18 - 34 Years,College Graduate,Middle,Female
149,0,2,1,1,1,4,45 - 54 Years,Some College,Below Poverty,Female
150,3,2,0,1,4,3,45 - 54 Years,12 Years,Below Poverty,Male
151,2,2,1,0,3,5,55 - 64 Years,Some College,Middle,Male
152,2,1,0,0,1,4,55 - 64 Years,<12 Years,Middle,Female
153,0,0,0,0,2,5,45 - 54 Years,<12 Years,Above Poverty,Female
154,2,2,0,0,1,2,35 - 44 Years,College Graduate,Below Poverty,Female
155,0,2,0,0,5,2,55 - 64 Years,Some College,Above Poverty,Male
156,1,2,0,0,4,1,65+ Years,12 Years,Middle,Male
157,2,0,0,1,4,1,65+ Years,College Graduate,Middle,Male
158,1,1,0,1,1,2,18 - 34 Years,Some College,Above Poverty,Female
159,0,0,0,0,3,5,45 - 54 Years,College Graduate,Middle,Female
160,3,1,0,1,2,2,35 - 44 Years,12 Years,Below Poverty,Female
161,2,2,0,1,4,1,18 - 34 Years,College Graduate,Above Poverty,Male
162,0,2,1,0,5,2,45 - 54 Years,College Graduate,Below Poverty,Male
163,3,0,1,1,5,2,55 - 64 Years,College Graduate,Below Poverty,Female
164,3,0,1,0,3,5,65+ Years,Some College,Below Poverty,Male
165,1,1,0,0,4,4,35 - 44 Years,12 Years,Above Poverty,Female
166,0,1,1,1,1,1,65+ Years,<12 Years,Middle,Male
167,3,0,1,0,5,5,55 - 64 Years,Some College,Below Poverty,Female
168,2,1,1,0,3,2,45 - 54 Years,<12 Years,Below Poverty,Male
169,2,0,0,0,4,2,55 - 64 Years,<12 Years,Below Poverty,Male
170,1,1,0,0,4,4,55 - 64 Years,Some College,Middle,Female
171,3,0,0,0,4,1,65+ Years,Some College,Middle,Female
172,0,0,0,0,4,1,35 - 44 Years,12 Years,Above Poverty,Female
173,2,0,1,0,4,3,55 - 64 Years,12 Years,Middle,Female
174,3,1,1,0,5,1,65+ Years,College Graduate,Above Poverty,Female
175,3,1,1,1,3,4,35 - 44 Years,<12 Years,Above Poverty,Male
176,1,1,1,1,4,3,45 - 54 Years,12 Years,Above Poverty,Female
177,2,0,0,1,2,3,45 - 54 Years,College Graduate,Above Poverty,Female
178,2,1,0,0,2,2,18 - 34 Years,12 Years,Above Poverty,Female
179,0,1,0,0,3,2,65+ Years,Some College,Below Poverty,Male
180,2,0,1,1,1,1,35 - 44 Years,12 Years,Middle,Female
181,0,2,0,1,1,3,55 - 64 Years,<12 Years,Below Poverty,Female
182,2,0,0,1,1,2,45 - 54 Years,12 Years,Above Poverty,Female
183,1,1,1,0,2,4,35 - 44 Years,<12 Years,Middle,Male
184,2,0,1,1,1,2,65+ Years,Some College,Below Poverty,Male
185,0,2,0,1,5,2,18 - 34 Years,<12 Years,Below Poverty,Female
186,0,0,0,0,4,3,45 - 54 Years,12 Years,Above Poverty,Male
187,1,1,0,1,2,3,35 - 44 Years,College Graduate,Below Poverty,Female
188,2,2,0,0,3,5,35 - 44 Years,Some College,Below Poverty,Male
189,2,1,0,0,3,4,35 - 44 Years,12 Years,Below Poverty,Female
190,1,2,0,0,4,3,65+ Years,Some College,Below Poverty,Male
191,2,2,1,1,2,1,65+ Years,Some College,Below Poverty,Female
192,2,0,1,1,1,4,65+ Years,12 Years,Above Poverty,Female
193,0,0,1,0,1,4,55 - 64 Years,12 Years,Above Poverty,Male
194,2,1,0,1,5,3,35 - 44 Years,College Graduate,Below Poverty,Female
195,2,0,1,1,5,4,45 - 54 Years,Some College,Above Poverty,Female
196,1,0,0,1,1,3,65+ Years,Some College,Above Poverty,Female
197,1,2,0,1,3,2,65+ Years,12 Years,Middle,Female
198,3,0,1,0,3,5,35 - 44 Years,<12 Years,Below Poverty,Male
199,0,2,0,1,5,2,65+ Years,12 Years,Above Poverty,Female
200,2,2,0,0,4,3,55 - 64 Years,Some College,Above Poverty,Male
201,2,2,1,0,1,3,55 - 64 Years,12 Years,Below Poverty,Male
202,3,1,1,1,5,2,65+ Years,College Graduate,Middle,Male
203,2,1,1,0,5,1,35 - 44 Years,<12 Years,Below Poverty,Male
204,0,1,0,1,1,1,35 - 44 Years,12 Years,Middle,Female
205,3,2,1,1,1,1,35 - 44 Years,College Graduate,Below Poverty,Female
206,0,1,1,0,3,3,18 - 34 Years,Some College,Below Poverty,Male
207,3,1,0,0,4,4,65+ Years,12 Years,Below Poverty,Female
208,3,0,1,0,4,3,35 - 44 Years,Some College,Below Poverty,Male
209,1,1,1,0,1,4,55 - 64 Years,College Graduate,Middle,Female
210,0,1,1,1,2,2,45 - 54 Years,Some College,Middle,Female
211,2,2,0,1,5,5,45 - 54 Years,College Graduate,Above Poverty,Female
212,2,2,0,1,5,4,35 - 44 Years,College Graduate,Below Poverty,Male
213,0,2,0,0,1,1,45 - 54 Years,College Graduate,Middle,Male
214,2,2,0,0,2,3,45 - 54 Years,12 Years,Middle,Female
215,2,2,1,0,3,2,18 - 34 Years,Some College,Middle,Male
216,0,2,0,1,1,1,55 - 64 Years,Some College,Below Poverty,Male
217,3,1,0,0,1,2,55 - 64 Years,<12 Years,Above Poverty,Female
218,0,2,1,1,5,5,18 - 34 Years,<12 Years,Middle,Male
219,3,2,1,0,1,3,18 - 34 Years,<12 Years,Below Poverty,Female
220,2,0,1,1,1,3,45 - 54 Years,<12 Years,Middle,Female
221,2,1,0,1,1,5,65+ Years,Some College,Middle,Female
222,2,1,0,0,5,3,45 - 54 Years,College Graduate,Above Poverty,Male
223,1,1,0,0,3,4,18 - 34 Years,College Graduate,Middle,Female
224,3,2,1,1,3,2,55 - 64 Years,12 Years,Middle,Female
225,1,2,1,1,1,1,45 - 54 Years,College Graduate,Below Poverty,Male
226,1,2,0,0,5,5,65+ Years,Some College,Below Poverty,Male
227,0,0,1,0,3,4,45 - 54 Years,Some College,Above Poverty,Male
228,1,2,1,1,3,1,35 - 44 Years,Some College,Below Poverty,Male
229,0,0,1,0,3,1,45 - 54 Years,12 Years,Below Poverty,Female
230,0,1,0,1,5,5,18 - 34 Years,<12 Years,Above Poverty,Male
231,1,2,1,1,5,4,55 - 64 Years,College Graduate,Middle,Male
232,3,0,1,0,1,1,55 - 64 Years,Some College,Above Poverty,Male
233,3,0,0,0,4,1,18 - 34 Years,Some College,Below Poverty,Male
234,3,2,0,0,3,4,35 - 44 Years,<12 Years,Above Poverty,Female
235,3,1,1,0,4,3,18 - 34 Years,Some College,Middle,Male
236,3,1,1,0,5,1,45 - 54 Years,College Graduate,Above Poverty,Female
237,1,1,0,1,5,2,18 - 34 Years,12 Years,Below Poverty,Male
238,1,0,0,1,5,4,18 - 34 Years,Some College,Below Poverty,Female
239,2,0,1,0,4,1,35 - 44 Years,College Graduate,Above Poverty,Female
240,3,0,1,0,5,5,45 - 54 Years,Some College,Middle,Male
241,1,0,1,0,1,2,65+ Years,<12 Years,Above Poverty,Female
242,2,1,1,1,5,1,65+ Years,Some College,Middle,Male
243,3,2,0,0,2,2,55 - 64 Years,Some College,Middle,Female
244,0,0,1,0,4,2,18 - 34 Years,12 Years,Above Poverty,Female
245,2,0,1,1,2,3,55 - 64 Years,<12 Years,Middle,Female
246,1,1,0,1,5,2,35 - 44 Years,<12 Years,Below Poverty,Male
247,0,2,1,0,1,3,65+ Years,12 Years,Above Poverty,Female
248,0,2,0,0,3,4,18 - 34 Years,Some College,Middle,Male
249,0,1,1,0,5,3,35 - 44 Years,College Graduate,Below Poverty,Female
250,2,1,1,1,1,5,35 - 44 Years,<12 Years,Above Poverty,Female
251,1,2,0,0,4,1,18 - 34 Years,<12 Years,Below Poverty,Female
252,0,0,0,0,2,4,35 - 44 Years,Some College,Below Poverty,Female
253,3,2,1,0,2,4,18 - 34 Years,Some College,Below Poverty,Female
254,0,1,1,1,2,5,18 - 34 Years,<12 Years,Middle,Female
255,0,0,1,1,4,3,45 - 54 Years,Some College,Above Poverty,Male
256,2,0,0,0,1,1,55 - 64 Years,College Graduate,Above Poverty,Male
257,2,1,1,0,4,3,35 - 44 Years,<12 Years,Middle,Male
258,1,1,0,1,2,2,35 - 44 Years,College Graduate,Above Poverty,Female
259,3,1,0,1,5,3,45 - 54 Years,College Graduate,Below Poverty,Male
260,2,2,1,1,3,4,45 - 54 Years,Some College,Above Poverty,Female
261,0,2,0,1,4,1,45 - 54 Years,College Graduate,Middle,Male
262,1,0,1,1,4,3,65+ Years,Some College,Below Poverty,Male
263,0,1,1,1,1,1,65+ Years,12 Years,Middle,Female
264,0,0,1,1,1,1,65+ Years,Some College,Below Poverty,Female
265,2,0,1,1,4,2,18 - 34 Years,College Graduate,Below Poverty,Male
266,1,0,1,1,2,2,35 - 44 Years,12 Years,Above Poverty,Male
267,3,0,0,0,3,4,55 - 64 Years,Some College,Below Poverty,Male
268,3,1,0,0,1,5,18 - 34 Years,College Graduate,Middle,Male
269,2,0,1,0,2,1,35 - 44 Years,<12 Years,Above Poverty,Female
270,2,1,1,1,5,5,35 - 44 Years,<12 Years,Middle,Male
271,1,1,0,0,1,4,45 - 54 Years,Some College,Below Poverty,Female
272,3,2,0,1,2,1,45 - 54 Years,Some College,Middle,Female
273,3,1,0,1,2,1,18 - 34 Years,<12 Years,Middle,Male
274,3,2,0,0,3,5,45 - 54 Years,College Graduate,Below Poverty,Female
275,0,1,1,1,3,3,35 - 44 Years,College Graduate,Above Poverty,Male
276,3,1,1,0,5,2,45 - 54 Years,College Graduate,Middle,Female
277,0,1,0,0,2,3,65+ Years,Some College,Below Poverty,Female
278,1,2,1,0,2,5,45 - 54 Years,12 Years,Above Poverty,Male
279,0,2,0,1,3,2,35 - 44 Years,12 Years,Above Poverty,Female
280,1,0,1,0,1,3,18 - 34 Years,12 Years,Above Poverty,Female
281,3,2,0,1,1,2,55 - 64 Years,12 Years,Middle,Male
282,3,2,1,0,4,1,45 - 54 Years,12 Years,Middle,Female
283,1,2,0,0,3,3,35 - 44 Years,Some College,Middle,Female
284,2,2,0,0,4,2,55 - 64 Years,Some College,Above Poverty,Male
285,1,0,1,1,3,2,55 - 64 Years,12 Years,Middle,Male
286,2,2,0,1,5,2,65+ Years,Some College,Below Poverty,Female
287,0,1,1,1,2,3,55 - 64 Years,Some College,Middle,Female
288,0,1,1,0,5,4,35 - 44 Years,12 Years,Middle,Female
289,0,2,0,0,3,3,35 - 44 Years,College Graduate,Above Poverty,Male
290,3,2,1,1,2,5,45 - 54 Years,Some College,Middle,Female
291,0,1,1,1,1,3,45 - 54 Years,College Graduate,Below Poverty,Female
292,2,1,1,1,1,2,45 - 54 Years,Some College,Above Poverty,Female
293,0,0,1,1,4,1,55 - 64 Years,Some College,Below Poverty,Female
294,1,1,1,1,3,3,55 - 64 Years,12 Years,Above Poverty,Female
295,1,1,0,1,3,3,65+ Years,Some College,Above Poverty,Female
296,3,2,1,0,1,2,45 - 54 Years,<12 Years,Middle,Male
297,1,1,1,1,5,1,18 - 34 Years,<12 Years,Below Poverty,Male
298,2,0,1,0,2,1,65+ Years,12 Years,Above Poverty,Female
299,0,1,1,0,5,5,18 - 34 Years,College Graduate,Middle,Female
300,3,2,1,1,5,3,55 - 64 Years,College Graduate,Above Poverty,Male
301,0,2,0,1,1,1,65+ Years,College Graduate,Above Poverty,Male
302,0,1,1,0,1,1,65+ Years,<12 Years,Above Poverty,Male
303,2,2,0,1,1,4,35 - 44 Years,College Graduate,Above Poverty,Female
304,1,0,0,1,4,4,55 - 64 Years,College Graduate,Above Poverty,Female
305,1,0,0,0,5,1,55 - 64 Years,12 Years,Above Poverty,Female
306,0,1,0,0,3,5,65+ Years,College Graduate,Middle,Female
307,3,1,1,0,2,1,55 - 64 Years,<12 Years,Above Poverty,Male
308,1,1,0,1,4,2,65+ Years,<12 Years,Below Poverty,Male
309,3,2,0,0,3,3,35 - 44 Years,<12 Years,Middle,Male
310,1,0,1,1,5,5,65+ Years,12 Years,Below Poverty,Male
311,3,0,1,0,1,2,55 - 64 Years,12 Years,Above Poverty,Female
312,2,2,1,0,5,5,55 - 64 Years,Some College,Below Poverty,Female
313,3,0,0,0,2,2,65+ Years,College Graduate,Above Poverty,Male
314,2,1,1,1,4,3,65+ Years,12 Years,Above Poverty,Male
315,2,1,1,1,4,3,65+ Years,<12 Years,Middle,Male
316,3,1,0,0,2,4,45 - 54 Years,<12 Years,Middle,Male
317,2,0,1,0,3,2,55 - 64 Years,12 Years,Above Poverty,Male
318,0,1,1,0,3,4,55 - 64 Years,12 Years,Middle,Female
319,2,2,1,1,4,2,45 - 54 Years,12 Years,Below Poverty,Female
320,1,2,1,0,4,4,65+ Years,Some College,Middle,Male
321,3,0,0,1,1,3,35 - 44 Years,<12 Years,Middle,Male
322,0,2,1,0,3,5,65+ Years,Some College,Below Poverty,Male
323,3,2,1,0,2,4,65+ Years,Some College,Middle,Female
324,1,0,0,0,3,2,45 - 54 Years,College Graduate,Above Poverty,Female
325,1,1,1,0,1,2,55 - 64 Years,<12 Years,Below Poverty,Female
326,1,1,0,0,4,3,65+ Years,<12 Years,Above Poverty,Male
327,2,1,1,0,4,2,55 - 64 Years,12 Years,Below Poverty,Female
328,2,0,0,1,1,1,18 - 34 Years,12 Years,Above Poverty,Male
329,3,2,0,0,2,5,55 - 64 Years,College Graduate,Above Poverty,Female
330,3,1,0,1,4,4,35 - 44 Years,Some College,Middle,Female
331,0,1,0,0,5,5,35 - 44 Years,12 Years,Above Poverty,Female
332,0,0,1,0,4,3,65+ Years,12 Years,Middle,Male
333,3,1,0,1,5,4,55 - 64 Years,<12 Years,Below Poverty,Male
334,2,0,1,0,1,4,65+ Years,<12 Years,Above Poverty,Female
335,1,2,0,1,1,1,45 - 54 Years,12 Years,Above Poverty,Male
336,3,0,0,1,4,3,35 - 44 Years,<12 Years,Below Poverty,Male
337,0,0,0,0,3,2,65+ Years,College Graduate,Below Poverty,Male
338,2,0,1,1,5,1,45 - 54 Years,12 Years,Above Poverty,Male
339,3,0,0,1,2,1,65+ Years,<12 Years,Below Poverty,Male
340,3,2,1,0,4,5,55 - 64 Years,College Graduate,Middle,Male
341,2,2,1,1,2,5,55 - 64 Years,<12 Years,Below Poverty,Male
342,3,1,1,0,4,5,55 - 64 Years,<12 Years,Below Poverty,Female
343,2,2,1,0,3,1,55 - 64 Years,<12 Years,Above Poverty,Male
344,1,2,1,0,3,2,18 - 34 Years,12 Years,Middle,Male
345,2,1,1,0,3,4,45 - 54 Years,Some College,Below Poverty,Female
346,2,2,1,1,3,5,45 - 54 Years,<12 Years,Middle,Female
347,2,0,1,0,1,2,55 - 64 Years,College Graduate,Middle,Female
348,3,0,1,0,1,3,18 - 34 Years,12 Years,Middle,Female
349,3,1,0,1,5,5,55 - 64 Years,12 Years,Above Poverty,Male
350,2,1,0,0,2,4,18 - 34 Years,College Graduate,Below Poverty,Female
351,3,1,0,0,4,3,55 - 64 Years,<12 Years,Above Poverty,Female
352,0,0,0,1,4,3,35 - 44 Years,Some College,Below Poverty,Male
353,0,2,0,1,1,4,35 - 44 Years,<12 Years,Below Poverty,Male
354,3,0,1,1,4,5,65+ Years,College Graduate,Above Poverty,Male
355,3,1,1,1,1,1,55 - 64 Years,12 Years,Middle,Female
356,2,2,1,1,5,4,45 - 54 Years,Some College,Middle,Male
357,1,2,1,1,2,4,65+ Years,12 Years,Below Poverty,Female
358,3,0,1,1,5,4,35 - 44 Years,College Graduate,Above Poverty,Male
359,0,1,1,0,3,3,55 - 64 Years,<12 Years,Middle,Male
360,2,0,1,1,3,2,65+ Years,Some College,Middle,Female
361,3,2,0,1,3,1,55 - 64 Years,12 Years,Below Poverty,Male
362,0,0,0,1,5,5,35 - 44 Years,12 Years,Below Poverty,Male
363,0,0,0,0,4,5,65+ Years,12 Years,Above Poverty,Male
364,1,1,0,0,2,2,35 - 44 Years,<12 Years,Below Poverty,Male
365,2,1,1,1,3,4,18 - 34 Years,Some College,Middle,Male
366,2,2,1,1,3,1,35 - 44 Years,<12 Years,Middle,Female
367,1,0,1,1,3,5,55 - 64 Years,<12 Years,Middle,Female
368,1,0,0,0,2,5,45 - 54 Years,<12 Years,Middle,Male
369,2,0,1,0,3,4,35 - 44 Years,College Graduate,Above Poverty,Female
370,2,2,1,1,2,2,45 - 54 Years,College Graduate,Above Poverty,Female
371,3,2,1,0,3,1,18 - 34 Years,College Graduate,Below Poverty,Female
372,3,1,0,1,5,2,65+ Years,Some College,Below Poverty,Male
373,1,1,1,0,5,2,65+ Years,<12 Years,Below Poverty,Male
374,3,1,0,0,2,1,45 - 54 Years,<12 Years,Above Poverty,Male
375,0,0,0,1,5,1,65+ Years,College Graduate,Middle,Female
376,3,0,0,1,2,5,35 - 44 Years,<12 Years,Below Poverty,Female
377,3,1,0,1,5,5,45 - 54 Years,<12 Years,Middle,Male
378,0,0,1,1,5,1,55 - 64 Years,12 Years,Below Poverty,Male
379,1,1,0,0,2,3,35 - 44 Years,<12 Years,Below Poverty,Female
